,,,,,,
Rēķins/Pavadzīme,,,,,,
,,,,,,
,,,Datums:,,14.01.2021,
,,,Rēķina/pavadzīme Nr.:,,14.01.2021-1K,
,,,Apmaksas termiņš:,,20.01.2021,
,,,,,,
Piegādātājs,,Fast Break SIA,,,,
Reģ.Nr.,,54103128281,,,,
PVN Nr.,,LV54103128281,,,,
Adrese,,"Brīvības iela 19, Ogre, Ogres nov., LV-5001",,,,
Banka,,Citadele banka AS,,,,
Kods,,PARXLV22,,,,
Konts,,LV44 PARX 0022 8121 1000 1,,,,
,,,,,,
,,,,,,
Maksātājs,,SIA EM-JAY,,,,
Reģ.Nr./personas kods,,4010384811,,,,
PVN Nr.,,,,,,
Adrese,,"Rīga, Bauskas iela 43/2, LV-1004",,,,
Banka,,AS Swedbank,,,,
Kods,,HABALV22,,,,
Konts,,LV58HABA0551039296486,,,,
,,,,,,
,,,,,,
Darījuma apraksts:,,,,,,
,,,,,,
Nr.p.k.,Nosaukums,,Mērvienība,Daudzums,Cena EUR,Summa EUR
1,Basketbola krekls LigoVelo,,gab.,4,13.50,54.00
2,Basketbola šorti LigoVelo,,gab.,4,13.50,54.00
,,,,,,0.00
Kopā,,,,,,108.00
PVN 21%,,,,,,22.68
Summa apmaksai EUR,,,,,,130.68
,,,,,,
Summa vārdiem EUR:,,,,,,
Viens simts trīsdesmit eiro un sešdesmit astoņi centi,,,,,,
,,,,,,
Rēķins/pavadzīme ir izrakstīts elektroniski un ir derīgs bez paraksta,,,,,,
