id,word,date,updated_at,created_at
1,ENTER,2025-06-18,2025-06-18T10:24:09.000Z,2025-06-18T10:01:41.000Z
2,ENTRY,2025-06-19,2025-06-19T07:21:26.000Z,2025-06-18T20:32:12.000Z
3,FLUID,2025-06-20,2025-06-20T07:21:32.000Z,2025-06-19T18:11:28.000Z
4,FORUM,2025-06-25,2025-06-25T10:04:27.000Z,2025-06-20T10:14:17.000Z
5,FOUND,2025-06-26,2025-06-26T06:47:41.000Z,2025-06-20T10:14:17.000Z
6,FRAME,2025-06-27,2025-06-27T08:51:22.000Z,2025-06-20T10:14:17.000Z
7,ĻEPĪT,2025-06-30,2025-06-30T07:49:17.000Z,2025-06-30T07:49:17.000Z
8,PAMAĢ,2025-07-01,2025-07-01T07:54:47.000Z,2025-07-01T07:54:47.000Z
9,PAMPA,2025-07-08,2025-07-08T13:02:53.000Z,2025-07-08T13:02:53.000Z
10,PAMPT,2025-07-09,2025-07-09T07:22:39.000Z,2025-07-09T07:22:39.000Z
11,PĀŅĀT,2025-07-10,2025-07-10T11:29:28.000Z,2025-07-10T11:29:28.000Z
12,PĀPĒT,2025-07-14,2025-07-14T07:59:47.000Z,2025-07-14T07:59:47.000Z
13,PĀRJO,2025-07-21,2025-07-21T07:16:45.000Z,2025-07-21T07:16:45.000Z
14,PARKS,2025-07-23,2025-07-23T07:40:57.000Z,2025-07-23T07:40:57.000Z
15,PARMS,2025-07-24,2025-07-24T13:21:46.000Z,2025-07-24T13:21:46.000Z
16,PARSS,2025-07-29,2025-07-29T18:19:39.000Z,2025-07-29T18:19:39.000Z
17,SAVUP,2025-08-27,2025-08-27T12:01:10.000Z,2025-08-27T12:01:10.000Z
18,TAKTE,2025-09-16,2025-09-16T12:52:32.000Z,2025-09-16T12:52:32.000Z
19,MELDI,2026-02-18,2026-02-18T14:42:03.000Z,2026-02-18T14:42:03.000Z
