id,filename,downloadUrl,size,taskId,updated_at,created_at
91,Saulkrasti2025jauns (2).cdr,/uploads/Saulkrasti2025jauns__2_-29.09.25.cdr,16601965,167,2025-09-29T08:44:41.000Z,2025-09-29T06:58:38.000Z
92,RBL)  (1).pdf,/uploads/RBL____1_-29.09.25.pdf,20802,167,2025-09-29T08:44:41.000Z,2025-09-29T07:00:22.000Z
93,Formas 45+.xlsx,/uploads/Formas_45_-29.09.25.xlsx,10131,167,2025-09-29T08:44:41.000Z,2025-09-29T07:00:26.000Z
104,Isie treninterpi.pdf,/uploads/Isie_treninterpi-03.10.25.pdf,22823,262,2025-10-08T07:04:26.000Z,2025-10-03T08:30:10.000Z
106,3_Bernu T-krekli.cdr,/uploads/3_Bernu_T-krekli-03.10.25.cdr,3210218,262,2025-10-08T07:04:26.000Z,2025-10-03T08:35:38.000Z
107,HK TUKUMS T KREKLI UN SORTINI DRUKA.cdr,/uploads/HK_TUKUMS_T_KREKLI_UN_SORTINI_DRUKA-03.10.25.cdr,1552057,262,2025-10-08T07:04:26.000Z,2025-10-03T09:08:35.000Z
109,Cruisers U18 Boys Warmup tops.xlsx,/uploads/Cruisers_U18_Boys_Warmup_tops-07.10.25.xlsx,73569,272,2025-10-13T07:34:19.000Z,2025-10-07T13:23:41.000Z
110,Warmup U18 B 25_26 Real life WT lekals.pdf,/uploads/Warmup_U18_B_25_26_Real_life_WT_lekals-07.10.25.pdf,1372125,272,2025-10-13T07:34:19.000Z,2025-10-07T13:23:43.000Z
118,Training tops U18s Boys.pdf,/uploads/Training_tops_U18s_Boys-13.10.25.pdf,1586460,282,2025-12-03T09:46:32.000Z,2025-10-13T07:31:25.000Z
119,U18s Training Tops 2025.xlsx,/uploads/U18s_Training_Tops_2025-13.10.25.xlsx,52452,282,2025-12-03T09:46:32.000Z,2025-10-13T07:31:26.000Z
120,Additional U18 Warmups 2025.pdf,/uploads/Additional_U18_Warmups_2025-13.10.25.pdf,1377507,272,2025-10-13T07:34:19.000Z,2025-10-13T07:33:14.000Z
123,DWS vests-1 zwart.pdf,/uploads/DWS_vests-1_zwart-17.10.25.pdf,1410309,291,2026-02-09T13:45:09.000Z,2025-10-17T10:33:36.000Z
125,holandes jakas.cdr,/uploads/holandes_jakas-21.10.25.cdr,1758203,291,2026-02-09T13:45:09.000Z,2025-10-21T07:52:36.000Z
126,SIMPLE PRO VESTES.pdf,/uploads/SIMPLE_PRO_VESTES-21.10.25.pdf,1387566,291,2026-02-09T13:45:09.000Z,2025-10-21T08:35:44.000Z
147,fk bunkurs x8.cdr,/uploads/fk_bunkurs_x8-10.11.25.cdr,39892760,,2025-11-10T07:49:39.000Z,2025-11-10T07:49:39.000Z
150,Prezentacija.cdr,/uploads/Prezentacija-11.11.25.cdr,15653406,323,2025-11-11T18:49:59.000Z,2025-11-11T18:49:30.000Z
151,skillzone logo23.png,/uploads/skillzone_logo23-11.11.25.png,154328,323,2025-11-11T18:49:59.000Z,2025-11-11T18:49:30.000Z
152,social post 1 final.png,/uploads/social_post_1_final-11.11.25.png,6180216,323,2025-11-11T18:49:59.000Z,2025-11-11T18:49:30.000Z
153,social post 2.png,/uploads/social_post_2-11.11.25.png,5053252,323,2025-11-11T18:49:59.000Z,2025-11-11T18:49:31.000Z
154,social post 3.png,/uploads/social_post_3-11.11.25.png,8155219,323,2025-11-11T18:49:59.000Z,2025-11-11T18:49:32.000Z
161,Emīls (1).xlsx,/uploads/Em_ls__1_-27.11.25.xlsx,8841,340,2025-12-01T10:17:59.000Z,2025-11-27T13:06:25.000Z
163,CarpIzlaseLatvija (2).cdr,/uploads/CarpIzlaseLatvija__2_-01.12.25.cdr,16602618,,2025-12-01T10:17:22.000Z,2025-12-01T10:17:22.000Z
164,CarpIzlaseLatvija (2).cdr,/uploads/CarpIzlaseLatvija__2_-01.12.25.cdr,16602618,,2025-12-01T10:18:17.000Z,2025-12-01T10:18:17.000Z
165,wetransfer_moto-sporta-enduro-krekla-makets-drukai-hencis_2025-12-03_1712.zip,/uploads/wetransfer_moto-sporta-enduro-krekla-makets-drukai-hencis_2025-12-03_1712-04.12.25.zip,35167998,,2025-12-04T14:18:29.000Z,2025-12-04T14:18:29.000Z
171,REzeknes Lapsenes.cdr,/uploads/REzeknes_Lapsenes-09.01.26.cdr,18436173,,2026-01-09T11:08:04.000Z,2026-01-09T11:08:04.000Z
172,BAMS krekli_final.xlsx,/uploads/BAMS_krekli_final-13.01.26.xlsx,364756,368,2026-01-15T09:55:05.000Z,2026-01-13T13:03:22.000Z
173,BAMS POLO.cdr,/uploads/BAMS_POLO-13.01.26.cdr,4069491,368,2026-01-15T09:55:05.000Z,2026-01-13T13:03:54.000Z
181,FK OGRE KRASTINS.xlsx,/uploads/FK_OGRE_KRASTINS-16.01.26.xlsx,10123,376,2026-01-22T08:31:31.000Z,2026-01-16T11:28:24.000Z
182,FBK OGre 2025.cdr,/uploads/FBK_OGre_2025-16.01.26.cdr,2583260,376,2026-01-22T08:31:31.000Z,2026-01-16T11:28:35.000Z
183,BK PLAVAS 2026.cdr,/uploads/BK_PLAVAS_2026-19.01.26.cdr,4497382,378,2026-02-11T15:06:49.000Z,2026-01-19T14:25:01.000Z
184,KINGS AND QUEENS OFFER 2026 JAN.cdr,/uploads/KINGS_AND_QUEENS_OFFER_2026_JAN-19.01.26.cdr,2712032,378,2026-02-11T15:06:49.000Z,2026-01-19T14:25:57.000Z
185,GROZA HUDIJI.cdr,/uploads/GROZA_HUDIJI-19.01.26.cdr,6798724,378,2026-02-11T15:06:49.000Z,2026-01-19T14:26:49.000Z
