id,message,userId,taskId,isRead,updated_at,created_at
18,"Artūrs izdzēsa projektu: ""Tests""",jbc733tyzrlm5syzjfpo4fdk,84,true,2025-07-14T11:18:21.000Z,2025-07-14T11:09:48.000Z
19,"Artūrs izdzēsa projektu: ""Tests""",njly65fq5kgs4odv4fqyvcst,83,false,2025-07-14T11:09:52.000Z,2025-07-14T11:09:52.000Z
20,"Artūrs pārvietoja projektu ""Parauj Kazā - PIRMAIS lietas"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,45,true,2025-12-12T13:10:48.000Z,2025-07-14T11:12:26.000Z
21,"Artūrs pārvietoja projektu ""Parauj Kazā - PIRMAIS lietas"" no ""Uz druku"" uz ""Artūrs""",joud2zyvb3wgvxlrgahougzz,45,true,2025-12-12T13:10:48.000Z,2025-07-14T11:12:30.000Z
24,"Artūrs izdzēsa projektu: ""Tests2""",jbc733tyzrlm5syzjfpo4fdk,,true,2025-07-14T11:18:21.000Z,2025-07-14T11:18:04.000Z
25,"Artūrs pārvietoja projektu ""Latvijas Lokšaušanas Federācija - VESTES"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,43,true,2025-12-12T13:10:48.000Z,2025-07-14T11:25:24.000Z
26,"Artūrs rediģēja projektu: ""Synotip Basketbols""",joud2zyvb3wgvxlrgahougzz,76,true,2025-12-12T13:10:48.000Z,2025-07-14T11:25:47.000Z
27,"Artūrs pārvietoja projektu ""Synotip Basketbols"" no ""Artūrs"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,76,true,2025-12-12T13:10:48.000Z,2025-07-14T11:28:13.000Z
28,"Artūrs pārvietoja projektu ""Mattias"" no ""Artūrs"" uz ""Presējam""",njly65fq5kgs4odv4fqyvcst,22,false,2025-07-14T11:29:36.000Z,2025-07-14T11:29:36.000Z
29,"Artūrs rediģēja projektu: ""Vīksnas Dažādas Lietas""",joud2zyvb3wgvxlrgahougzz,44,true,2025-12-12T13:10:48.000Z,2025-07-14T11:32:23.000Z
30,"Artūrs rediģēja projektu: ""Made Gifting t-shirts""",jbc733tyzrlm5syzjfpo4fdk,68,false,2025-07-14T11:33:40.000Z,2025-07-14T11:33:40.000Z
31,"Kaspars pārvietoja projektu ""Vīksnas Dažādas Lietas"" no ""Artūrs"" uz ""Uz druku""",boaj3cdrucdxjbeirocwa2qo,44,true,2026-01-15T07:21:15.000Z,2025-07-15T08:48:21.000Z
32,"Artūrs pārvietoja projektu ""Parauj Kazā - PIRMAIS lietas"" no ""Artūrs"" uz ""Pie mums""",joud2zyvb3wgvxlrgahougzz,45,true,2025-12-12T13:10:48.000Z,2025-07-21T07:16:30.000Z
33,"Artūrs pārvietoja projektu ""Vīksnas Dažādas Lietas"" no ""Uz druku"" uz ""Presējam""",joud2zyvb3wgvxlrgahougzz,44,true,2025-12-12T13:10:48.000Z,2025-07-21T08:15:12.000Z
34,"Artūrs pārvietoja projektu ""Ira Vaitone"" no ""Artūrs"" uz ""Uz druku""",joud2zyvb3wgvxlrgahougzz,112,true,2025-12-12T13:10:48.000Z,2025-07-21T08:39:32.000Z
35,"Kaspars rediģēja projektu: ""Synotip Basketbols""",boaj3cdrucdxjbeirocwa2qo,76,true,2026-01-15T07:21:15.000Z,2025-07-22T10:08:06.000Z
36,"Artūrs rediģēja projektu: ""Krastu Mači - Salacgrīva""",joud2zyvb3wgvxlrgahougzz,113,true,2025-12-12T13:10:48.000Z,2025-07-23T08:40:50.000Z
37,"Artūrs rediģēja projektu: ""SOS Order 31135""",joud2zyvb3wgvxlrgahougzz,98,true,2025-12-12T13:10:48.000Z,2025-07-23T08:41:22.000Z
38,"Artūrs rediģēja projektu: ""Laudona Promohouse""",joud2zyvb3wgvxlrgahougzz,114,true,2025-12-12T13:10:48.000Z,2025-07-23T08:41:29.000Z
39,"Artūrs rediģēja projektu: ""HK Ogre Smashers""",joud2zyvb3wgvxlrgahougzz,108,true,2025-12-12T13:10:48.000Z,2025-07-23T08:41:37.000Z
40,"Kaspars pārvietoja projektu ""Vīksnas Dažādas Lietas"" no ""Presējam"" uz ""Ikšķile""",boaj3cdrucdxjbeirocwa2qo,44,true,2026-01-15T07:21:15.000Z,2025-07-23T10:39:42.000Z
41,"Kaspars pārvietoja projektu ""Synotip Basketbols"" no ""Presējam"" uz ""Pie mums""",boaj3cdrucdxjbeirocwa2qo,76,true,2026-01-15T07:21:15.000Z,2025-07-23T10:39:45.000Z
42,"Kaspars pārvietoja projektu ""Krastu Mači - Salacgrīva"" no ""Artūrs"" uz ""Presējam""",boaj3cdrucdxjbeirocwa2qo,113,true,2026-01-15T07:21:15.000Z,2025-07-24T07:08:23.000Z
43,"Kaspars pārvietoja projektu ""HK Ogre Smashers"" no ""Artūrs"" uz ""Ikšķile""",boaj3cdrucdxjbeirocwa2qo,108,true,2026-01-15T07:21:15.000Z,2025-07-24T07:08:30.000Z
