id,title,description,cost,updated_at,created_at
2,Basketbola krekls,F02,1253,2025-06-18T12:22:47.000Z,2025-06-18T10:01:41.000Z
3,Basketbola šorti,F02,1140,2025-06-18T12:23:07.000Z,2025-06-18T10:01:41.000Z
4,Basketbola krekls - Reverss / Abpūsējs,F02,1995,2026-01-22T08:27:36.000Z,2025-06-18T10:01:41.000Z
5,Basketbola šorti - Reversi / Abpusēji,F02,1894,2026-01-22T08:27:53.000Z,2025-06-18T10:01:41.000Z
6,MX Krosa krekls BASIC,F02,1690,2025-06-18T12:24:15.000Z,2025-06-18T10:01:41.000Z
7,MX Krosa krekls SIETS,FXR SIETS,1915,2025-06-18T12:25:23.000Z,2025-06-18T10:01:41.000Z
8,MX Krosa krekls PRO,2007+FXR SIETS,2109,2025-06-18T12:25:51.000Z,2025-06-18T10:01:41.000Z
9,MX Veste ZIEMAS,F02,1200,2025-06-18T12:26:16.000Z,2025-06-18T10:01:41.000Z
10,Softshell veste PRO (ventilācija + kabatas),SOFTSHELL,2411,2025-10-21T10:35:37.000Z,2025-06-18T10:01:41.000Z
11,T-krekls classic,F02,1255,2025-06-18T12:27:12.000Z,2025-06-18T10:01:41.000Z
12,T-krekls REGLAN,F02,1255,2025-06-18T12:29:30.000Z,2025-06-18T10:01:41.000Z
13,Šorti - Volej,F02,1058,2025-07-07T10:48:06.000Z,2025-06-18T10:01:41.000Z
14,Softshell jaka ar kapuci,SOFTSHELL,3185,2025-06-18T12:30:33.000Z,2025-06-18T10:01:41.000Z
15,"Hūdijs ar kabatām, kapuci",270,3170,2025-06-18T12:31:16.000Z,2025-06-18T10:01:41.000Z
16,Jaka ar pūkaino iekšu,270,2692,2025-06-18T12:31:43.000Z,2025-06-18T10:01:41.000Z
17,Hokeja krekls SUPER PRO,RAGHOK 3 + siets padusēs,2760,2025-09-09T08:24:32.000Z,2025-06-18T10:01:41.000Z
18,Hokejs PRO,RAG HOK 3,2325,2025-06-18T12:32:39.000Z,2025-06-18T10:01:41.000Z
19,Hokejs ROOKIE,RAG HOK 3,2125,2025-06-18T12:33:01.000Z,2025-06-18T10:01:41.000Z
20,Hokejs ROOKIE BĒRNU,RAG HOK 3,1890,2025-06-18T12:33:47.000Z,2025-06-18T10:01:41.000Z
21,Hokejs PRO BĒRNU,RAG HOK 3,2012,2025-06-18T12:34:14.000Z,2025-06-18T10:01:41.000Z
22,Getras 1 šuve (pāris) Raghok,RAG HOK 3,1309,2025-06-19T11:01:30.000Z,2025-06-18T10:01:41.000Z
