id,taskId,materialId,updated_at,created_at
78,34,32,2025-07-09T07:06:46.000Z,2025-07-09T07:06:46.000Z
98,69,27,2025-07-10T11:05:47.000Z,2025-07-10T11:05:47.000Z
101,64,5,2025-07-10T11:08:46.000Z,2025-07-10T11:08:46.000Z
103,56,30,2025-07-10T11:09:17.000Z,2025-07-10T11:09:17.000Z
105,58,5,2025-07-10T11:10:15.000Z,2025-07-10T11:10:15.000Z
107,71,10,2025-07-10T11:10:43.000Z,2025-07-10T11:10:43.000Z
108,60,5,2025-07-10T11:11:12.000Z,2025-07-10T11:11:12.000Z
109,12,5,2025-07-10T11:11:33.000Z,2025-07-10T11:11:33.000Z
117,78,32,2025-07-10T13:03:36.000Z,2025-07-10T13:03:36.000Z
121,80,31,2025-07-14T07:16:14.000Z,2025-07-14T07:16:14.000Z
129,96,32,2025-07-17T11:09:15.000Z,2025-07-17T11:09:15.000Z
194,163,10,2025-08-22T08:19:11.000Z,2025-08-22T08:19:11.000Z
195,162,10,2025-08-22T08:24:35.000Z,2025-08-22T08:24:35.000Z
216,190,32,2025-09-08T05:41:07.000Z,2025-09-08T05:41:07.000Z
248,167,10,2025-09-29T08:44:41.000Z,2025-09-29T08:44:41.000Z
254,255,27,2025-10-01T05:34:11.000Z,2025-10-01T05:34:11.000Z
266,262,10,2025-10-08T07:04:26.000Z,2025-10-08T07:04:26.000Z
277,272,10,2025-10-13T07:34:19.000Z,2025-10-13T07:34:19.000Z
355,321,27,2025-11-10T14:32:49.000Z,2025-11-10T14:32:49.000Z
389,340,27,2025-12-01T10:17:59.000Z,2025-12-01T10:17:59.000Z
396,282,10,2025-12-03T09:46:32.000Z,2025-12-03T09:46:32.000Z
435,376,27,2026-01-22T08:31:31.000Z,2026-01-22T08:31:31.000Z
438,371,10,2026-01-27T07:30:20.000Z,2026-01-27T07:30:20.000Z
441,389,12,2026-01-28T18:09:55.000Z,2026-01-28T18:09:55.000Z
442,389,5,2026-01-28T18:09:55.000Z,2026-01-28T18:09:55.000Z
446,391,10,2026-02-03T10:47:46.000Z,2026-02-03T10:47:46.000Z
447,388,10,2026-02-06T12:23:00.000Z,2026-02-06T12:23:00.000Z
448,291,6,2026-02-09T13:45:09.000Z,2026-02-09T13:45:09.000Z
449,118,35,2026-02-09T13:46:23.000Z,2026-02-09T13:46:23.000Z
452,404,5,2026-02-12T08:12:33.000Z,2026-02-12T08:12:33.000Z
